product_id,m5_item_id,category,production_cost,selling_price,holding_cost,shortage_cost,safety_stock,max_inventory
P01,FOODS_3_586,FOODS,1.19,1.6,0.024,2.4,504,13470
P02,FOODS_1_218,FOODS,0.73,0.98,0.015,1.47,358,3434
P03,FOODS_3_395,FOODS,2.93,3.96,0.059,5.94,15,225
P04,FOODS_2_076,FOODS,7.48,10.1,0.15,15.15,15,82
P05,HOUSEHOLD_1_083,HOUSEHOLD,0.73,0.98,0.015,1.47,136,1875
P06,HOUSEHOLD_1_176,HOUSEHOLD,2.88,3.89,0.058,5.84,17,224
P07,HOUSEHOLD_2_001,HOUSEHOLD,4.88,6.59,0.098,9.88,8,82
P08,HOBBIES_1_371,HOBBIES,0.36,0.48,0.007,0.72,186,1794
P09,HOBBIES_1_151,HOBBIES,3.81,5.15,0.076,7.72,14,187
P10,HOBBIES_1_225,HOBBIES,21.98,29.67,0.44,44.5,13,77
