product_id,machine_id,processing_time,setup_time,setup_cost,min_batch_size
P01,M01,0.02,1.0,60.0,150
P01,M02,0.025,1.5,90.0,150
P02,M02,0.04,1.0,60.0,150
P02,M01,0.06,1.5,90.0,150
P05,M03,0.1,1.5,90.0,150
P05,M02,0.09,2.0,120.0,150
P08,M04,0.1,1.5,90.0,150
P08,M03,0.12,2.0,120.0,150
P03,M03,0.3,1.5,90.0,40
P03,M04,0.32,2.0,120.0,40
P06,M04,0.28,1.5,90.0,40
P06,M03,0.3,2.0,120.0,40
P09,M05,0.35,2.0,120.0,40
P09,M06,0.38,2.5,150.0,40
P04,M05,0.4,2.0,120.0,15
P04,M06,0.42,2.5,150.0,15
P07,M06,0.42,2.0,120.0,15
P07,M05,0.45,2.5,150.0,15
P10,M06,0.5,2.0,120.0,15
P10,M05,0.55,2.5,150.0,15
