week,product_id,forecast,lower_bound,upper_bound,model
274,P01,3024.4,2861.0,3187.8,LightGBM
275,P01,3126.8,2963.3,3290.2,LightGBM
276,P01,3114.1,2950.6,3277.5,LightGBM
277,P01,3117.2,2953.8,3280.6,LightGBM
278,P01,3163.4,3000.0,3326.8,LightGBM
279,P01,3163.4,3000.0,3326.8,LightGBM
280,P01,3314.4,3151.0,3477.8,LightGBM
281,P01,3408.9,3245.5,3572.3,LightGBM
282,P01,3405.5,3242.1,3568.9,LightGBM
283,P01,3406.0,3242.6,3569.4,LightGBM
284,P01,3553.0,3389.6,3716.4,LightGBM
285,P01,3738.4,3575.0,3901.8,LightGBM
274,P02,714.1,534.1,894.1,LightGBM
275,P02,689.3,509.2,869.3,LightGBM
276,P02,690.2,510.2,870.2,LightGBM
277,P02,690.2,510.2,870.2,LightGBM
278,P02,700.4,520.4,880.4,LightGBM
279,P02,715.1,535.1,895.1,LightGBM
280,P02,716.3,536.3,896.3,LightGBM
281,P02,716.3,536.3,896.3,LightGBM
282,P02,716.3,536.3,896.3,LightGBM
283,P02,716.3,536.3,896.3,LightGBM
284,P02,709.2,529.2,889.2,LightGBM
285,P02,709.2,529.2,889.2,LightGBM
274,P03,50.9,36.4,65.3,RandomForest
275,P03,56.5,42.1,70.9,RandomForest
276,P03,52.3,37.9,66.7,RandomForest
277,P03,50.8,36.4,65.2,RandomForest
278,P03,48.0,33.6,62.4,RandomForest
279,P03,53.8,39.4,68.3,RandomForest
280,P03,52.4,37.9,66.8,RandomForest
281,P03,48.8,34.4,63.2,RandomForest
282,P03,50.7,36.3,65.1,RandomForest
283,P03,53.1,38.7,67.5,RandomForest
284,P03,52.2,37.8,66.6,RandomForest
285,P03,51.1,36.7,65.5,RandomForest
274,P04,22.1,14.3,29.9,RandomForest
275,P04,22.5,14.7,30.3,RandomForest
276,P04,22.6,14.8,30.4,RandomForest
277,P04,22.2,14.4,30.0,RandomForest
278,P04,22.4,14.6,30.1,RandomForest
279,P04,22.4,14.6,30.2,RandomForest
280,P04,22.5,14.7,30.3,RandomForest
281,P04,22.4,14.6,30.1,RandomForest
282,P04,22.4,14.6,30.2,RandomForest
283,P04,22.4,14.6,30.2,RandomForest
284,P04,22.4,14.6,30.2,RandomForest
285,P04,22.4,14.6,30.1,RandomForest
274,P05,343.0,279.6,406.4,RandomForest
275,P05,365.0,301.6,428.3,RandomForest
276,P05,369.4,306.0,432.7,RandomForest
277,P05,354.8,291.4,418.2,RandomForest
278,P05,362.1,298.7,425.5,RandomForest
279,P05,369.3,305.9,432.7,RandomForest
280,P05,372.2,308.8,435.6,RandomForest
281,P05,363.6,300.2,426.9,RandomForest
282,P05,365.3,301.9,428.7,RandomForest
283,P05,367.7,304.3,431.1,RandomForest
284,P05,369.0,305.6,432.4,RandomForest
285,P05,365.3,301.9,428.7,RandomForest
274,P06,47.8,35.4,60.2,LightGBM
275,P06,48.6,36.2,61.0,LightGBM
276,P06,49.4,37.0,61.7,LightGBM
277,P06,46.0,33.6,58.4,LightGBM
278,P06,46.8,34.4,59.2,LightGBM
279,P06,48.3,35.9,60.7,LightGBM
280,P06,48.3,35.9,60.7,LightGBM
281,P06,46.0,33.6,58.4,LightGBM
282,P06,46.3,33.9,58.7,LightGBM
283,P06,46.3,33.9,58.7,LightGBM
284,P06,46.3,33.9,58.7,LightGBM
285,P06,44.1,31.8,56.5,LightGBM
274,P07,21.5,15.7,27.3,XGBoost
275,P07,23.4,17.7,29.2,XGBoost
276,P07,23.8,18.0,29.6,XGBoost
277,P07,23.8,18.0,29.6,XGBoost
278,P07,23.8,18.0,29.6,XGBoost
279,P07,23.8,18.0,29.6,XGBoost
280,P07,23.8,18.0,29.6,XGBoost
281,P07,23.8,18.0,29.6,XGBoost
282,P07,23.8,18.0,29.6,XGBoost
283,P07,23.8,18.0,29.6,XGBoost
284,P07,23.7,17.9,29.5,XGBoost
285,P07,23.7,17.9,29.5,XGBoost
274,P08,424.0,316.9,531.1,XGBoost
275,P08,391.7,284.6,498.8,XGBoost
276,P08,387.3,280.3,494.4,XGBoost
277,P08,404.8,297.7,511.9,XGBoost
278,P08,404.8,297.7,511.9,XGBoost
279,P08,396.6,289.6,503.7,XGBoost
280,P08,424.5,317.5,531.6,XGBoost
281,P08,410.7,303.6,517.8,XGBoost
282,P08,406.1,299.0,513.2,XGBoost
283,P08,406.1,299.0,513.2,XGBoost
284,P08,404.4,297.3,511.5,XGBoost
285,P08,404.4,297.3,511.5,XGBoost
274,P09,33.7,23.9,43.4,RandomForest
275,P09,36.2,26.4,46.0,RandomForest
276,P09,35.0,25.2,44.7,RandomForest
277,P09,34.3,24.5,44.1,RandomForest
278,P09,35.3,25.5,45.1,RandomForest
279,P09,36.1,26.3,45.9,RandomForest
280,P09,33.9,24.1,43.7,RandomForest
281,P09,33.9,24.1,43.6,RandomForest
282,P09,35.0,25.2,44.8,RandomForest
283,P09,35.6,25.8,45.3,RandomForest
284,P09,35.2,25.4,45.0,RandomForest
285,P09,35.0,25.2,44.8,RandomForest
274,P10,21.6,15.2,28.0,RandomForest
275,P10,22.0,15.6,28.4,RandomForest
276,P10,21.8,15.4,28.2,RandomForest
277,P10,22.4,16.0,28.8,RandomForest
278,P10,22.4,16.1,28.8,RandomForest
279,P10,22.4,16.1,28.8,RandomForest
280,P10,22.4,16.1,28.8,RandomForest
281,P10,22.5,16.1,28.8,RandomForest
282,P10,22.5,16.1,28.8,RandomForest
283,P10,22.5,16.1,28.8,RandomForest
284,P10,22.5,16.1,28.8,RandomForest
285,P10,22.5,16.1,28.8,RandomForest
