product_id,machine_id,t,quantity
P01,M01,1,3024.4
P02,M02,1,714.1
P03,M03,1,50.9
P04,M05,1,22.1
P05,M03,1,343.0
P06,M04,1,47.8
P07,M06,1,21.5
P08,M04,1,424.0
P09,M05,1,33.7
P10,M06,1,21.6
P01,M01,2,3126.8
P02,M02,2,689.3
P03,M03,2,56.5
P04,M05,2,22.5
P05,M03,2,365.0
P06,M04,2,48.6
P07,M06,2,23.4
P08,M04,2,391.7
P09,M05,2,36.2
P10,M06,2,22.0
P01,M01,3,3114.1
P02,M02,3,690.2
P03,M03,3,52.3
P04,M05,3,22.6
P05,M03,3,369.4
P06,M04,3,49.4
P07,M06,3,23.8
P08,M04,3,387.3
P09,M05,3,35.0
P10,M06,3,21.8
P01,M01,4,3117.2
P02,M02,4,690.2
P03,M03,4,50.8
P04,M05,4,22.2
P05,M03,4,354.8
P06,M04,4,46.0
P07,M06,4,23.8
P08,M04,4,404.8
P09,M05,4,34.3
P10,M06,4,22.4
P01,M01,5,3163.4
P02,M02,5,700.4
P03,M03,5,48.0
P04,M05,5,22.4
P05,M03,5,362.1
P06,M04,5,46.8
P07,M06,5,23.8
P08,M04,5,404.8
P09,M05,5,35.3
P10,M06,5,22.4
P01,M01,6,3163.4
P02,M02,6,715.1
P03,M03,6,53.8
P04,M05,6,22.4
P05,M03,6,369.3
P06,M04,6,48.3
P07,M06,6,23.8
P08,M04,6,396.6
P09,M05,6,36.1
P10,M06,6,22.4
P01,M01,7,3314.4
P02,M02,7,716.3
P03,M03,7,52.4
P04,M05,7,22.5
P05,M03,7,372.2
P06,M04,7,48.3
P07,M06,7,23.8
P08,M04,7,424.5
P09,M05,7,33.9
P10,M06,7,22.4
P01,M01,8,3408.9
P02,M02,8,716.3
P03,M03,8,48.8
P04,M05,8,22.4
P05,M03,8,363.6
P06,M04,8,46.0
P07,M06,8,23.8
P08,M04,8,410.7
P09,M05,8,33.9
P10,M06,8,22.5
P01,M01,9,3405.5
P02,M02,9,716.3
P03,M03,9,50.7
P04,M05,9,22.4
P05,M03,9,365.3
P06,M04,9,46.3
P07,M06,9,23.8
P08,M04,9,406.1
P09,M05,9,35.0
P10,M06,9,22.5
P01,M01,10,3406.0
P02,M02,10,716.3
P03,M03,10,53.1
P04,M05,10,22.4
P05,M03,10,367.7
P06,M04,10,46.3
P07,M06,10,23.8
P08,M04,10,406.1
P09,M05,10,35.6
P10,M06,10,22.5
P01,M01,11,3553.0
P02,M02,11,709.2
P03,M03,11,52.2
P04,M05,11,22.4
P05,M03,11,369.0
P06,M04,11,46.3
P07,M06,11,23.7
P08,M04,11,404.4
P09,M05,11,35.2
P10,M06,11,22.5
P01,M01,12,3738.4
P02,M02,12,709.2
P03,M03,12,51.1
P04,M05,12,22.4
P05,M03,12,365.3
P06,M04,12,44.1
P07,M06,12,23.7
P08,M04,12,404.4
P09,M05,12,35.0
P10,M06,12,22.5
