product_id,t,inventory,safety_stock,below_safety_stock
P01,1,504.0,504,False
P01,2,504.0,504,False
P01,3,504.0,504,False
P01,4,504.0,504,False
P01,5,504.0,504,False
P01,6,504.0,504,False
P01,7,504.0,504,False
P01,8,504.0,504,False
P01,9,504.0,504,False
P01,10,504.0,504,False
P01,11,504.0,504,False
P01,12,504.0,504,False
P02,1,358.0,358,False
P02,2,358.0,358,False
P02,3,358.0,358,False
P02,4,358.0,358,False
P02,5,358.0,358,False
P02,6,358.0,358,False
P02,7,358.0,358,False
P02,8,358.0,358,False
P02,9,358.0,358,False
P02,10,358.0,358,False
P02,11,358.0,358,False
P02,12,358.0,358,False
P03,1,15.0,15,False
P03,2,15.0,15,False
P03,3,15.0,15,False
P03,4,15.0,15,False
P03,5,15.0,15,False
P03,6,15.0,15,False
P03,7,15.0,15,False
P03,8,15.0,15,False
P03,9,15.0,15,False
P03,10,15.0,15,False
P03,11,15.0,15,False
P03,12,15.0,15,False
P04,1,15.0,15,False
P04,2,15.0,15,False
P04,3,15.0,15,False
P04,4,15.0,15,False
P04,5,15.0,15,False
P04,6,15.0,15,False
P04,7,15.0,15,False
P04,8,15.0,15,False
P04,9,15.0,15,False
P04,10,15.0,15,False
P04,11,15.0,15,False
P04,12,15.0,15,False
P05,1,136.0,136,False
P05,2,136.0,136,False
P05,3,136.0,136,False
P05,4,136.0,136,False
P05,5,136.0,136,False
P05,6,136.0,136,False
P05,7,136.0,136,False
P05,8,136.0,136,False
P05,9,136.0,136,False
P05,10,136.0,136,False
P05,11,136.0,136,False
P05,12,136.0,136,False
P06,1,17.0,17,False
P06,2,17.0,17,False
P06,3,17.0,17,False
P06,4,17.0,17,False
P06,5,17.0,17,False
P06,6,17.0,17,False
P06,7,17.0,17,False
P06,8,17.0,17,False
P06,9,17.0,17,False
P06,10,17.0,17,False
P06,11,17.0,17,False
P06,12,17.0,17,False
P07,1,8.0,8,False
P07,2,8.0,8,False
P07,3,8.0,8,False
P07,4,8.0,8,False
P07,5,8.0,8,False
P07,6,8.0,8,False
P07,7,8.0,8,False
P07,8,8.0,8,False
P07,9,8.0,8,False
P07,10,8.0,8,False
P07,11,8.0,8,False
P07,12,8.0,8,False
P08,1,186.0,186,False
P08,2,186.0,186,False
P08,3,186.0,186,False
P08,4,186.0,186,False
P08,5,186.0,186,False
P08,6,186.0,186,False
P08,7,186.0,186,False
P08,8,186.0,186,False
P08,9,186.0,186,False
P08,10,186.0,186,False
P08,11,186.0,186,False
P08,12,186.0,186,False
P09,1,14.0,14,False
P09,2,14.0,14,False
P09,3,14.0,14,False
P09,4,14.0,14,False
P09,5,14.0,14,False
P09,6,14.0,14,False
P09,7,14.0,14,False
P09,8,14.0,14,False
P09,9,14.0,14,False
P09,10,14.0,14,False
P09,11,14.0,14,False
P09,12,14.0,14,False
P10,1,13.0,13,False
P10,2,13.0,13,False
P10,3,13.0,13,False
P10,4,13.0,13,False
P10,5,13.0,13,False
P10,6,13.0,13,False
P10,7,13.0,13,False
P10,8,13.0,13,False
P10,9,13.0,13,False
P10,10,13.0,13,False
P10,11,13.0,13,False
P10,12,13.0,13,False
