product_id,machine_id,t,quantity,hours
P01,M01,1,2910.0,58.2
P01,M02,1,114.4,2.8600000000000003
P01,M01,2,1021.7,20.434
P01,M02,2,2105.1,52.6275
P01,M01,3,948.7,18.974
P01,M02,3,2165.4,54.135000000000005
P01,M01,4,841.7,16.834
P01,M02,4,2275.5,56.8875
P01,M01,5,985.7,19.714000000000002
P01,M02,5,2177.7,54.442499999999995
P01,M01,6,2910.0,58.2
P01,M02,6,253.4,6.335000000000001
P01,M01,7,2910.0,58.2
P01,M02,7,404.4,10.11
P01,M01,8,1626.6,32.532
P01,M02,8,1782.3,44.557500000000005
P01,M01,9,2910.0,58.2
P01,M02,9,495.5,12.387500000000001
P01,M01,10,1720.5,34.410000000000004
P01,M02,10,1685.5,42.1375
P01,M01,11,2000.9,40.018
P01,M02,11,1552.1,38.8025
P01,M01,12,2910.0,58.2
P01,M02,12,828.4,20.71
P02,M02,1,714.1,28.564
P02,M02,2,59.9,2.396
P02,M01,2,629.4,37.763999999999996
P02,M02,3,36.4,1.456
P02,M01,3,653.8,39.227999999999994
P02,M02,4,0.8,0.032
P02,M01,4,689.4,41.364
P02,M02,5,59.0,2.36
P02,M01,5,641.4,38.483999999999995
P02,M02,6,715.1,28.604000000000003
P02,M02,7,716.3,28.651999999999997
P02,M02,8,288.5,11.540000000000001
P02,M01,8,427.8,25.668
P02,M02,9,716.3,28.651999999999997
P02,M02,10,319.8,12.792000000000002
P02,M01,10,396.5,23.79
P02,M02,11,406.2,16.248
P02,M01,11,303.0,18.18
P02,M02,12,709.2,28.368000000000002
P03,M03,1,50.9,15.27
P03,M03,2,56.5,16.95
P03,M03,3,42.5,12.75
P03,M04,3,9.8,3.136
P03,M03,4,50.8,15.239999999999998
P03,M03,5,48.0,14.399999999999999
P03,M03,6,47.0,14.1
P03,M04,6,6.8,2.176
P03,M04,7,52.4,16.768
P03,M03,8,48.8,14.639999999999999
P03,M03,9,46.8,14.04
P03,M04,9,3.9,1.248
P03,M03,10,53.1,15.93
P03,M03,11,47.8,14.339999999999998
P03,M04,11,4.4,1.4080000000000001
P03,M03,12,51.1,15.33
P04,M06,1,22.1,9.282
P04,M05,2,22.5,9.0
P04,M05,3,22.6,9.040000000000001
P04,M06,4,22.2,9.324
P04,M06,5,22.4,9.408
P04,M06,6,22.4,9.408
P04,M06,7,22.5,9.45
P04,M06,8,22.4,9.408
P04,M05,9,22.4,8.959999999999999
P04,M05,10,22.4,8.959999999999999
P04,M05,11,22.4,8.959999999999999
P04,M05,12,22.4,8.959999999999999
P05,M03,1,115.8,11.58
P05,M02,1,227.2,20.447999999999997
P05,M03,2,131.9,13.190000000000001
P05,M02,2,233.1,20.979
