product_id,t,inventory,safety_stock,below_safety_stock
P01,1,1521.3,504,False
P01,2,1254.5,504,False
P01,3,1000.4,504,False
P01,4,743.2,504,False
P01,5,504.0,504,False
P01,6,1238.1,504,False
P01,7,1655.7,504,False
P01,8,1106.8,504,False
P01,9,1743.0,504,False
P01,10,1197.0,504,False
P01,11,504.0,504,False
P01,12,504.0,504,False
P02,1,568.2,358,False
P02,2,436.4,358,False
P02,3,358.0,358,False
P02,4,697.8,358,False
P02,5,759.4,358,False
P02,6,1074.3,358,False
P02,7,358.0,358,False
P02,8,358.0,358,False
P02,9,516.8,358,False
P02,10,358.0,358,False
P02,11,358.0,358,False
P02,12,358.0,358,False
P03,1,25.2,15,False
P03,2,29.4,15,False
P03,3,37.8,15,False
P03,4,48.8,15,False
P03,5,68.8,15,False
P03,6,15.0,15,False
P03,7,20.8,15,False
P03,8,32.7,15,False
P03,9,50.0,15,False
P03,10,57.6,15,False
P03,11,66.1,15,False
P03,12,15.0,15,False
P04,1,17.1,15,False
P04,2,18.7,15,False
P04,3,20.3,15,False
P04,4,22.3,15,False
P04,5,24.0,15,False
P04,6,25.8,15,False
P04,7,27.5,15,False
P04,8,29.2,15,False
P04,9,31.0,15,False
P04,10,32.8,15,False
P04,11,34.5,15,False
P04,12,15.0,15,False
P05,1,196.5,136,False
P05,2,394.8,136,False
P05,3,564.6,136,False
P05,4,209.8,136,False
P05,5,320.2,136,False
P05,6,354.4,136,False
P05,7,545.5,136,False
P05,8,674.7,136,False
P05,9,309.4,136,False
P05,10,505.0,136,False
P05,11,136.0,136,False
P05,12,136.0,136,False
P06,1,36.3,17,False
P06,2,54.9,17,False
P06,3,72.6,17,False
P06,4,92.6,17,False
P06,5,45.8,17,False
P06,6,17.0,17,False
P06,7,35.8,17,False
P06,8,57.0,17,False
P06,9,17.0,17,False
P06,10,37.8,17,False
P06,11,58.7,17,False
P06,12,17.0,17,False
P07,1,11.5,8,False
P07,2,13.1,8,False
P07,3,14.3,8,False
P07,4,15.5,8,False
P07,5,8.0,8,False
P07,6,9.2,8,False
P07,7,10.4,8,False
P07,8,11.6,8,False
P07,9,12.8,8,False
P07,10,14.0,8,False
P07,11,15.3,8,False
P07,12,8.0,8,False
P08,1,186.0,186,False
P08,2,197.8,186,False
P08,3,214.0,186,False
P08,4,212.7,186,False
P08,5,211.4,186,False
P08,6,218.3,186,False
P08,7,197.3,186,False
P08,8,190.1,186,False
P08,9,187.5,186,False
P08,10,186.0,186,False
P08,11,186.0,186,False
P08,12,186.0,186,False
P09,1,36.0,14,False
P09,2,55.5,14,False
P09,3,20.5,14,False
P09,4,14.0,14,False
P09,5,34.4,14,False
P09,6,54.0,14,False
P09,7,75.8,14,False
P09,8,41.9,14,False
P09,9,62.7,14,False
P09,10,82.8,14,False
P09,11,47.6,14,False
P09,12,14.0,14,False
P10,1,13.0,13,False
P10,2,13.0,13,False
P10,3,13.0,13,False
P10,4,13.0,13,False
P10,5,13.0,13,False
P10,6,13.0,13,False
P10,7,13.0,13,False
P10,8,13.0,13,False
P10,9,13.0,13,False
P10,10,13.0,13,False
P10,11,13.0,13,False
P10,12,13.0,13,False
