product_id,machine_id,t,quantity
P01,M01,1,2860.0
P01,M02,1,1181.7
P01,M01,2,2860.0
P01,M01,3,2860.0
P01,M01,4,2860.0
P01,M01,5,2860.0
P01,M01,6,2860.0
P01,M02,6,1037.5
P01,M01,7,2860.0
P01,M02,7,872.0
P01,M01,8,2860.0
P01,M01,9,2860.0
P01,M02,9,1181.7
P01,M01,10,2860.0
P01,M01,11,2860.0
P01,M01,12,1933.1
P01,M02,12,1805.3
P02,M02,1,924.3
P02,M02,2,557.5
P02,M02,3,611.8
P02,M02,4,1030.0
P02,M02,5,762.0
P02,M02,6,1030.0
P02,M02,8,716.3
P02,M02,9,875.1
P02,M02,10,557.5
P02,M02,11,709.2
P02,M02,12,709.2
P03,M04,1,61.1
P03,M03,2,60.7
P03,M03,3,60.7
P03,M03,4,61.8
P03,M03,5,68.0
P03,M03,7,58.2
P03,M03,8,60.7
P03,M03,9,68.0
P03,M03,10,60.7
P03,M03,11,60.7
P04,M05,1,24.2
P04,M05,2,24.2
P04,M05,3,24.2
P04,M05,4,24.2
P04,M05,5,24.2
P04,M05,6,24.2
P04,M05,7,24.2
P04,M05,8,24.2
P04,M05,9,24.2
P04,M05,10,24.2
P04,M05,11,24.2
P05,M03,1,403.5
P05,M02,2,563.3
P05,M02,3,539.2
P05,M02,5,472.4
P05,M03,6,403.5
P05,M02,7,563.3
P05,M02,8,492.8
P05,M02,10,563.3
P05,M03,12,365.3
P06,M04,1,67.1
P06,M03,2,67.1
P06,M03,3,67.1
P06,M03,4,66.0
P06,M03,7,67.1
P06,M03,8,67.1
P06,M03,10,67.1
P06,M03,11,67.1
P07,M06,1,25.0
P07,M06,2,25.0
P07,M06,3,25.0
P07,M06,4,25.0
P07,M06,6,25.0
P07,M06,7,25.0
P07,M06,8,25.0
P07,M06,9,25.0
P07,M06,10,25.0
P07,M06,11,25.0
P08,M04,2,403.5
P08,M04,3,403.5
P08,M04,4,403.5
P08,M04,5,403.5
P08,M04,6,403.5
P08,M04,7,403.5
P08,M04,8,403.5
P08,M04,9,403.5
P08,M04,10,403.5
P08,M04,11,403.5
P08,M04,12,403.5
P09,M05,1,55.7
P09,M05,2,55.7
P09,M05,5,55.7
P09,M05,6,55.7
P09,M05,7,55.7
P09,M05,9,55.7
P09,M05,10,55.7
P10,M06,1,21.6
P10,M06,2,22.0
P10,M06,3,21.8
P10,M06,4,22.4
P10,M06,5,22.4
P10,M06,6,22.4
P10,M06,7,22.4
P10,M06,8,22.5
P10,M06,9,22.5
P10,M06,10,22.5
P10,M06,11,22.5
P10,M06,12,22.5
