product_id,machine_id,t
P01,M01,1
P01,M01,2
P01,M01,3
P01,M01,4
P01,M01,5
P01,M01,6
P01,M01,7
P01,M01,8
P01,M01,9
P01,M01,10
P01,M01,11
P01,M01,12
P01,M02,1
P01,M02,6
P01,M02,7
P01,M02,9
P01,M02,12
P02,M02,1
P02,M02,2
P02,M02,3
P02,M02,4
P02,M02,5
P02,M02,6
P02,M02,8
P02,M02,9
P02,M02,10
P02,M02,11
P02,M02,12
P05,M03,1
P05,M03,6
P05,M03,12
P05,M02,2
P05,M02,3
P05,M02,5
P05,M02,7
P05,M02,8
P05,M02,10
P08,M04,2
P08,M04,3
P08,M04,4
P08,M04,5
P08,M04,6
P08,M04,7
P08,M04,8
P08,M04,9
P08,M04,10
P08,M04,11
P08,M04,12
P03,M03,2
P03,M03,3
P03,M03,4
P03,M03,5
P03,M03,7
P03,M03,8
P03,M03,9
P03,M03,10
P03,M03,11
P03,M04,1
P06,M04,1
P06,M03,2
P06,M03,3
P06,M03,4
P06,M03,7
P06,M03,8
P06,M03,10
P06,M03,11
P09,M05,1
P09,M05,2
P09,M05,5
P09,M05,6
P09,M05,7
P09,M05,9
P09,M05,10
P04,M05,1
P04,M05,2
P04,M05,3
P04,M05,4
P04,M05,5
P04,M05,6
P04,M05,7
P04,M05,8
P04,M05,9
P04,M05,10
P04,M05,11
P07,M06,1
P07,M06,2
P07,M06,3
P07,M06,4
P07,M06,6
P07,M06,7
P07,M06,8
P07,M06,9
P07,M06,10
P07,M06,11
P10,M06,1
P10,M06,2
P10,M06,3
P10,M06,4
P10,M06,5
P10,M06,6
P10,M06,7
P10,M06,8
P10,M06,9
P10,M06,10
P10,M06,11
P10,M06,12
