machine_id,t,constraint,shadow_price
M01,2,"machine_capacity[M01,2]",-56.9
M01,3,"machine_capacity[M01,3]",-58.1
M01,4,"machine_capacity[M01,4]",-59.300000000000004
M01,5,"machine_capacity[M01,5]",-60.50000000000001
M01,6,"machine_capacity[M01,6]",-7.105427357601002e-15
M01,7,"machine_capacity[M01,7]",-1.2000000000000028
M01,8,"machine_capacity[M01,8]",-2.4000000000000057
M01,9,"machine_capacity[M01,9]",-5.329070518200751e-15
M01,10,"machine_capacity[M01,10]",-4.800000000000004
M01,11,"machine_capacity[M01,11]",-6.000000000000007
M02,1,"machine_capacity[M02,1]",-1.4210854715202004e-14
M02,2,"machine_capacity[M02,2]",-0.3750000000000142
M02,3,"machine_capacity[M02,3]",-0.7500000000000142
M02,5,"machine_capacity[M02,5]",-1.0833333333333464
M02,7,"machine_capacity[M02,7]",-0.960000000000008
M02,8,"machine_capacity[M02,8]",-1.5833333333333481
M02,10,"machine_capacity[M02,10]",-0.375
M03,1,"machine_capacity[M03,1]",-0.37500000000001155
M03,2,"machine_capacity[M03,2]",-9.086666666666668
M03,3,"machine_capacity[M03,3]",-9.283333333333337
M03,4,"machine_capacity[M03,4]",-9.480000000000002
M03,6,"machine_capacity[M03,6]",-1.1250000000000133
M03,8,"machine_capacity[M03,8]",-0.1966666666666672
M03,10,"machine_capacity[M03,10]",-0.5900000000000016
M03,11,"machine_capacity[M03,11]",-0.7866666666666688
M04,1,"machine_capacity[M04,1]",-8.334375000000001
M04,2,"machine_capacity[M04,2]",-3.039999999999999
M04,3,"machine_capacity[M04,3]",-3.1099999999999994
M04,4,"machine_capacity[M04,4]",-3.1799999999999997
M04,5,"machine_capacity[M04,5]",-3.25
M04,6,"machine_capacity[M04,6]",-3.3200000000000003
M04,7,"machine_capacity[M04,7]",-3.3899999999999997
M04,8,"machine_capacity[M04,8]",-3.46
M04,9,"machine_capacity[M04,9]",-3.5300000000000002
M04,10,"machine_capacity[M04,10]",-3.5999999999999996
M04,11,"machine_capacity[M04,11]",-3.5999999999999996
M04,12,"machine_capacity[M04,12]",-3.5999999999999996
